State,EV
Andaman & Nicobar Island,186
Andhra Pradesh,65000
Arunachal Pradesh,25
Assam,116605
Bihar,155457
Chandigarh,7628
Chhattisgarh,52813
Delhi,229305
Goa,12139
Gujarat,134273
Haryana,67812
Himachal Pradesh,2362
Jammu and Kashmir,10225
Jharkhand,35331
Karnataka,239948
Kerala,94346
Ladakh,65
Madhya Pradesh,92388
Maharashtra,296885
Manipur,1198
Meghalaya,129
Mizoram,114
Nagaland,60
Odisha,60097
Puducherry,4421
Punjab,34162
Rajasthan,175595
Sikkim,20
Tamil Nadu,167216
Tripura,14379
UT of DNH and DD,345
Uttarakhand,48250
Uttar Pradesh,556629
West Bengal,67111
